name,behavior,time_500,time_1000,time_1500,time_2000
Steady Star, steady, 9081.372899999998, 16146.9875, 23191.2431, 30253.3062
Steady Star, sprinter, 12110.2029, 20174.3124, 26220.9308, 33269.7088
Steady Star, finisher, 6050.3853, 10094.0281, 13119.2636, 15138.051899999999
Steady Star, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 12110.2029
Final Sprint, steady, 9081.372899999998, 17148.9693, 25209.0436, 32260.099299999998
Final Sprint, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 23191.2431
Final Sprint, finisher, 7061.107800000001, 11101.2326, 14131.225999999999, 17148.9693
Final Sprint, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 16146.9875
Early Bird, steady, 8070.993100000001, 15138.051899999999, 21180.0778, 28243.1709
Early Bird, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 23191.2431
Early Bird, finisher, 9081.372899999998, 14131.225999999999, 17148.9693, 21180.0778
Early Bird, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 15138.051899999999
Maximillion, steady, 12110.2029, 21180.0778, 30253.3062, 38326.733
Maximillion, sprinter, 6050.3853, 11101.2326, 15138.051899999999, 19159.9218
Maximillion, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Maximillion, frontrunner, 3022.4046, 6050.3853, 10094.0281, 16146.9875
Oreo Milkshake, steady, 7061.107800000001, 13119.2636, 19159.9218, 25209.0436
Oreo Milkshake, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 23191.2431
Oreo Milkshake, finisher, 7061.107800000001, 12110.2029, 15138.051899999999, 19159.9218
Oreo Milkshake, frontrunner, 3022.4046, 6050.3853, 10094.0281, 16146.9875
Neighvana, steady, 7061.107800000001, 12110.2029, 18155.9941, 23191.2431
Neighvana, sprinter, 8070.993100000001, 13119.2636, 19159.9218, 24199.9628
Neighvana, finisher, 10094.0281, 15138.051899999999, 19159.9218, 23191.2431
Neighvana, frontrunner, 3022.4046, 6050.3853, 10094.0281, 15138.051899999999
Spray Tan, steady, 12110.2029, 22183.230799999998, 31258.2092, 41357.9188
Spray Tan, sprinter, 7061.107800000001, 12110.2029, 17148.9693, 21180.0778
Spray Tan, finisher, 5046.5315, 9081.372899999998, 12110.2029, 15138.051899999999
Spray Tan, frontrunner, 3022.4046, 6050.3853, 10094.0281, 16146.9875
Chillhooves, steady, 11101.2326, 21180.0778, 30253.3062, 38326.733
Chillhooves, sprinter, 5046.5315, 10094.0281, 14131.225999999999, 18155.9941
Chillhooves, finisher, 5046.5315, 9081.372899999998, 12110.2029, 15138.051899999999
Chillhooves, frontrunner, 3022.4046, 6050.3853, 10094.0281, 16146.9875
Sad horse, steady, 19159.9218, 36299.8183, 54471.184, 75665.23700000001
Sad horse, sprinter, 5046.5315, 10094.0281, 14131.225999999999, 18155.9941
Sad horse, finisher, 9081.372899999998, 14131.225999999999, 18155.9941, 22183.230799999998
Sad horse, frontrunner, 3022.4046, 7061.107800000001, 13119.2636, 23191.2431
10, steady, 8070.993100000001, 15138.051899999999, 21180.0778, 28243.1709
10, sprinter, 3022.4046, 8070.993100000001, 11101.2326, 14131.225999999999
